Player,Pos,Number,FO,FOW,Hits,Plus/Minus,TO,Saves,ShotsFaced,MinutesPlayed,GAA
Patrick O'Shaughnessy,Forward,21,121,71,10,5,2,0,0,0,0.0
Cole Kosowski,Forward,13,14,8,1,0,0,0,0,0,0.0
Tommy Gilligan,Forward,17,28,15,3,1,3,0,0,0,0.0
Matthew Grady,Forward,22,50,30,10,4,1,0,0,0,0.0
Leighton Walsh,Forward,7,129,61,10,1,0,0,0,0,0.0
Daniel Kauber,Forward,72,1,1,7,2,3,0,0,0,0.0
Cam Glonek,Defense,14,0,0,17,-2,2,0,0,0,0.0
Florian Zajic,Defense,40,0,0,24,7,0,0,0,0,0.0
David Mahan,Forward,15,0,0,4,-1,1,0,0,0,0.0
Henry Foster,Forward,81,12,5,17,4,8,0,0,0,0.0
Patrik Peltola,Forward,89,104,67,10,-1,2,0,0,0,0.0
Nick Curley,Defense,20,0,0,5,0,0,0,0,0,0.0
Benjamin Edwards,Defense,4,1,1,0,-3,1,0,0,0,0.0
Cuan Doig,Forward,16,38,27,4,0,0,0,0,0,0.0
Nick Aney,Forward,29,11,3,5,0,0,0,0,0,0.0
Chandler Kotseos,Forward,98,1,1,3,0,1,0,0,0,0.0
Micheal Vaglia,Forward,28,56,21,6,-1,2,0,0,0,0.0
Carson Rein,Forward,95,18,8,2,0,4,0,0,0,0.0
Jack Gleason,Defense,12,0,0,5,7,5,0,0,0,0.0
Wills Kendrick-Holmes,Defense,66,0,0,6,0,0,0,0,0,0.0
John Migliore,Defense,71,0,0,1,-2,1,0,0,0,0.0
Carter Tanner,Defense,5,0,0,2,3,0,0,0,0,0.0
Zach Mangel,Forward,10,0,0,5,0,1,0,0,0,0.0
Jake White,Forward,26,0,0,5,1,1,0,0,0,0.0
Mekhi Ashford,Forward,33,0,0,2,1,0,0,0,0,0.0
Camden Wood,Defense,46,0,0,0,2,0,0,0,0,0.0
Spencer Haskell,Defense,74,0,0,0,-1,0,0,0,0,0.0
Lucas Brown,Goalie,1,0,0,0,0,0,333,363,720,2.5
Joel Hughes,Goalie,27,0,0,0,0,0,237,259,480,2.4
Ben Hathaway,Goalie,30,0,0,0,0,0,47,49,60,2.0
Erik Throndson,Defense,8,0,0,5,-1,0,0,0,0,0.0
